protocol,method,variant,dataset,input_or_fit_frames,evaluated_frames,source_points,submitted_primitives,steps,render_size,fg_psnr,fg_l1,mask_iou,mask_f1,evidence,status,artifact,notes
cat_observed40,Residual-only skinned 3DGS,before covariance transport,Cat local controlled,0-39,0-39,20000,20000,1200,512x288,20.6911579609,0.0607640092,0.7288798392,0.8426481798,direct,complete,/home/aoki/Differentiable_Physical_Driven_3DGS_for_monocular_Animal_Motion_Reconstruction/output/cat_residual_only_20k_observed40_20260809,same frames/data/optimizer/renderer as after
cat_observed40,Residual-only skinned 3DGS,after covariance transport,Cat local controlled,0-39,0-39,20000,20000,1200,512x288,20.6454598427,0.0612994543,0.7299219251,0.8433825433,direct,complete,/mnt/f/fur_hair_unified_data/cat_covariance_transport_ablation_20260810/cat_residual_only_covtransport_20k_observed40_20260810,PSNR -0.0457 dB; IoU +0.00104
cat_observed40,Unified shell-strand-residual,soft before covariance transport,Cat local controlled,0-39,0-39,20000,160000,1200,512x288,19.2255080700,0.0748739898,0.6751433462,0.8053940892,direct,complete,/home/aoki/Differentiable_Physical_Driven_3DGS_for_monocular_Animal_Motion_Reconstruction/output/cat_unified_20k_observed40_20260809,exclusive opacity allocation
cat_observed40,Unified shell-strand-residual,soft after covariance transport,Cat local controlled,0-39,0-39,20000,160000,1200,512x288,19.2861552238,0.0744305223,0.6760743886,0.8060241997,direct,complete,/mnt/f/fur_hair_unified_data/cat_covariance_transport_ablation_20260810/cat_unified_covtransport_20k_observed40_20260810,PSNR +0.0606 dB; IoU +0.00093
cat_observed40,Unified shell-strand-residual,hard before covariance transport,Cat local controlled,0-39,0-39,20000,160000,1200,512x288,19.2146253109,0.0747013025,0.6958870262,0.8201678962,direct,complete,/home/aoki/Differentiable_Physical_Driven_3DGS_for_monocular_Animal_Motion_Reconstruction/output/cat_unified_20k_observed40_20260809,zero-opacity routes are still submitted
cat_observed40,Unified shell-strand-residual,hard after covariance transport,Cat local controlled,0-39,0-39,20000,160000,1200,512x288,19.2987401962,0.0742697194,0.6941807166,0.8190058544,direct,complete,/mnt/f/fur_hair_unified_data/cat_covariance_transport_ablation_20260810/cat_unified_covtransport_20k_observed40_20260810,PSNR +0.0841 dB; IoU -0.00171
cat_heldout32_39,Residual-only skinned 3DGS,before covariance transport,Cat local controlled,0-31,32-39,20000,20000,1200,512x288,16.1903299093,0.1159968553,0.5700761080,0.7257585302,direct,complete,/home/aoki/Differentiable_Physical_Driven_3DGS_for_monocular_Animal_Motion_Reconstruction/output/cat_residual_only_20k_matched_v2_20260809,skeleton-conditioned temporal extrapolation
cat_heldout32_39,Residual-only skinned 3DGS,after covariance transport,Cat local controlled,0-31,32-39,20000,20000,1200,512x288,16.2485008240,0.1157720173,0.5657930747,0.7222508192,direct,complete,/mnt/f/fur_hair_unified_data/cat_covariance_transport_ablation_20260810/cat_residual_only_covtransport_20k_matched_20260810,PSNR +0.0582 dB; IoU -0.00428
cat_heldout32_39,Unified shell-strand-residual,soft before covariance transport,Cat local controlled,0-31,32-39,20000,160000,1200,512x288,16.3983031511,0.1128382208,0.5795817375,0.7337373048,direct,complete,/home/aoki/Differentiable_Physical_Driven_3DGS_for_monocular_Animal_Motion_Reconstruction/output/cat_unified_fiber_hairgs_full_v2_20260808,exclusive opacity allocation
cat_heldout32_39,Unified shell-strand-residual,soft after covariance transport,Cat local controlled,0-31,32-39,20000,160000,1200,512x288,16.4199416637,0.1124157812,0.5801492482,0.7341811657,direct,complete,/mnt/f/fur_hair_unified_data/cat_covariance_transport_ablation_20260810/cat_unified_covtransport_20k_matched_20260810,PSNR +0.0216 dB; IoU +0.00057
cat_heldout32_39,Unified shell-strand-residual,hard before covariance transport,Cat local controlled,0-31,32-39,20000,160000,1200,512x288,15.8382997513,0.1218169136,0.5595912486,0.7173602283,direct,complete,/home/aoki/Differentiable_Physical_Driven_3DGS_for_monocular_Animal_Motion_Reconstruction/output/cat_unified_fiber_hairgs_full_v2_20260808,exclusive hard deployment
cat_heldout32_39,Unified shell-strand-residual,hard after covariance transport,Cat local controlled,0-31,32-39,20000,160000,1200,512x288,15.9138002396,0.1206230707,0.5651625097,0.7218901515,direct,complete,/mnt/f/fur_hair_unified_data/cat_covariance_transport_ablation_20260810/cat_unified_covtransport_20k_matched_20260810,PSNR +0.0755 dB; IoU +0.00557
vidu4d_training_grid,Vidu4D Stage 3,best photometric ckpt_0040,Cat local controlled,all 40,9 fixed training-view grid,,200000,,256x256 grid,28.5091353499,0.0229296237,0.9537164536,0.9763099981,external convergence diagnostic,complete,/mnt/f/fur_hair_unified_data/baselines/vidu4d/formal_cat/render_best0040,not comparable to Cat heldout or observed protocol
vidu4d_training_grid,Vidu4D Stage 3,official final ckpt_0060,Cat local controlled,all 40,9 fixed training-view grid,,200000,,256x256 grid,28.0662488391,0.0246906299,0.9549727022,0.9769678125,external convergence diagnostic,complete,/mnt/f/fur_hair_unified_data/baselines/vidu4d/formal_cat/render_final0060,normal-loss phase trades 0.443 dB for 0.00126 IoU versus best
hairgs_anchor,HairGS,wCurly official-aligned16/1000,wCurly synthetic multiview,16 fitted views,training views,,,,,30.4869441999,,0.9111791627,,external anchor,complete,/home/aoki/fur_hair_baselines/hair-gs,geometry F1 0.50345 at 4mm/40deg; different dataset
gart_readiness,GART,official dog shiba,official shiba dog,288 frames,,,,,,,,,,readiness,blocked,/home/aoki/fur_hair_baselines/GART,licensed D-SMAL/BITE assets missing; no valid metric
